INFO  - 2013-09-13 03:19:47.317; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035187314&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:19:49.328; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035189326&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:19:51.338; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035191335&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:19:53.348; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035193345&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:19:55.359; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035195357&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:19:57.371; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035197368&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:19:59.389; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035199386&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:20:01.400; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035201397&wt=json} status=0 QTime=1 
INFO  - 2013-09-13 03:20:03.413; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035203410&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:20:05.426; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035205423&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:20:07.441; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035207438&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:20:09.454; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035209451&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:20:11.467; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035211464&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:20:13.479; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035213476&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:20:15.490; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035215487&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:20:17.501; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035217497&wt=json} status=0 QTime=1 
INFO  - 2013-09-13 03:20:19.512; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035219509&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:20:21.522; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035221519&wt=json} status=0 QTime=1 
INFO  - 2013-09-13 03:20:23.532; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035223529&wt=json} status=0 QTime=0 
